stop_id,stop_code,stop_name,stop_lon,stop_lat,location_type,stop_display,wheelchair_boarding,stop_abribus
MARS22CP43237,43237,Vanier / de la Concorde,-73.65137,45.604257,0,0,1,1
MARS22CP43238,43238,Vanier / de la Concorde,-73.65107,45.604392,0,0,1,0
MARS2243240,43240,Vanier / Breault,-73.66088,45.613536,0,0,1,0
MARS2243241,43241,Vanier / Liébert,-73.65779,45.61133,0,0,1,0
MARS2243242,43242,Vanier / Dyonnet,-73.65216,45.605128,0,0,1,0
MARS2243243,43243,Vanier / de la Fabrique,-73.65791,45.609512,0,0,1,1
MARS2243244,43244,Vanier / face au 1005,-73.65541,45.60714,0,0,1,0
MARS2243245,43245,Vanier / face au 1006,-73.65584,45.607184,0,0,2,0
MARS22CP43246,43246,de Villars / de Mexico,-73.72177,45.587153,0,0,2,0
MARS2243248,43248,de l'Avenir / Saint-Martin,-73.7283,45.566588,0,0,1,0
MARS2243249,43249,de l'Avenir / du Souvenir,-73.72313,45.562486,0,0,1,1
MARS2243257,43257,du Bord-de-l'Eau / Marineau,-73.79154,45.517979,0,0,2,0
MARS2243258,43258,du Bord-de-l'Eau / des Nénuphars,-73.83403,45.520949,0,0,2,1
MARS2243259,43259,du Bord-de-l'Eau / Nénuphars,-73.83453,45.520848,0,0,2,0
MARS2243260,43260,du Bord-de-l'Eau / du Relais,-73.85541,45.522819,0,0,2,0
MARS2243263,43263,du Bord-de-l'Eau / du Relais,-73.85524,45.522982,0,0,2,0
MARS2243264,43264,du Bord-de-l'Eau / Marineau,-73.7917,45.517843,0,0,2,0
MARS22CP43265,43265,Carole / des Tulipes,-73.82333,45.532282,0,0,2,0
MARS2243266,43266,Curé-Labelle / face au 2914,-73.77949,45.566951,0,0,2,0
MARS22CP43267,43267,Justin / face à Hydro Québec,-73.80646,45.563777,0,0,2,1
MARS22CP43268,43268,Édith / face à Hydro Québec,-73.80636,45.563643,0,0,2,0
MARS2243295,43295,Carrefour Laval,-73.75101,45.567611,0,1,1,1
MARS2243296,43296,Le Carrefour / Daniel-Johnson,-73.75286,45.565926,0,0,1,0
MARS2243302,43302,Monselet / Saint-Vital,-73.64309,45.586712,0,0,2,0
MARS2243303,43303,Monselet / Saint-Vital,-73.64265,45.587126,0,0,2,0
MARS2243308,43308,Montée Masson / face au 1535,-73.64264,45.643383,0,0,2,0
MARS2243343,43343,du Souvenir / de l'Avenir,-73.7237,45.561729,0,1,1,1
MARS22CP43372,43372,de l'Avenir / du Trait-Carré,-73.72424,45.563728,0,0,1,0
MARS2243372,43372,de l'Avenir / du Trait-Carré,-73.72424,45.563728,0,0,1,0
MARS2243374,43374,de l'Avenir / du Trait-Carré,-73.72409,45.56414,0,0,1,1
MARS22CP43374,43374,de l'Avenir / du Trait-Carré,-73.72409,45.56414,0,0,1,1
MARS2243380,43380,Pierre-Péladeau / Saint-Martin,-73.7418,45.561116,0,0,1,1
MARS2243381,43381,Pierre-Péladeau / cinéma Colossus,-73.74317,45.562292,0,0,1,0
MARS2243382,43382,Terry-Fox / du Cosmodôme,-73.7441,45.566097,0,0,2,0
MARS2243383,43383,Terry-Fox / Édouard-Montpetit,-73.74583,45.56773,0,0,1,0
MARS2243385,43385,Terry-Fox / Édouard-Montpetit,-73.74613,45.567829,0,0,1,0
MARS2243386,43386,Terry-Fox / du Cosmodôme,-73.74472,45.566381,0,0,2,0
MARS2243387,43387,Pierre-Péladeau / cinéma Colossus,-73.7432,45.562031,0,1,1,1
MARS2243389,43389,Curé-Labelle / Face au 511,-73.78905,45.580422,0,0,2,0
MARS2243390,43390,Curé-Labelle / face au Canadian Tire,-73.78895,45.581343,0,0,2,0
