route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_headsign,route_color,route_text_color
MARS2256O,STL,56,Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/56O,STEDOROTHEE,151f6d,FFFFFF
MARS2258E,STL,58,Saint-Vincent-De-Paul,3,https://www.stlaval.ca/reseau/horaires-autobus/route/58E,ST-VCT-PAUL,151f6d,FFFFFF
MARS2258O,STL,58,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/58O,CARTIER,151f6d,FFFFFF
MARS2260E,STL,60,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/60E,CARTIER,151f6d,FFFFFF
MARS2260O,STL,60,Chomedey,3,https://www.stlaval.ca/reseau/horaires-autobus/route/60O,CHOMEDEY,151f6d,FFFFFF
MARS2261N,STL,61,Fabreville,3,https://www.stlaval.ca/reseau/horaires-autobus/route/61N,FABREVILLE,151f6d,FFFFFF
MARS2261S,STL,61,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/61S,MONTMORENCY,151f6d,FFFFFF
MARS2263N,STL,63,Gare Sainte-Rose,3,https://www.stlaval.ca/reseau/horaires-autobus/route/63N,STE-ROSE,151f6d,FFFFFF
MARS2263S,STL,63,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/63S,CARTIER,151f6d,FFFFFF
MARS2265N,STL,65,Gare Sainte-Rose,3,https://www.stlaval.ca/reseau/horaires-autobus/route/65N,STE-ROSE,151f6d,FFFFFF
MARS2265S,STL,65,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/65S,MONTMORENCY,151f6d,FFFFFF
MARS2266E,STL,66,Terminus Le Carrefour,3,https://www.stlaval.ca/reseau/horaires-autobus/route/66E,CARREFOUR,151f6d,FFFFFF
MARS2266O,STL,66,Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/66O,STEDOROTHEE,151f6d,FFFFFF
MARS2270E,STL,70,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/70E,CARTIER,151f6d,FFFFFF
MARS2270O,STL,70,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/70O,MONTMORENCY,151f6d,FFFFFF
MARS22713N,STL,713,Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/713N,STEDOROTHEE,151f6d,FFFFFF
MARS22713S,STL,713,Métro Côte-Vertu,3,https://www.stlaval.ca/reseau/horaires-autobus/route/713S,COTE-VERTU,151f6d,FFFFFF
MARS2273N,STL,73,Fabreville,3,https://www.stlaval.ca/reseau/horaires-autobus/route/73N,FABREVILLE,151f6d,FFFFFF
MARS2273S,STL,73,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/73S,CARTIER,151f6d,FFFFFF
MARS22730N,STL,730,Gare Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/730N,STEDOROTHEE,151f6d,FFFFFF
MARS22730S,STL,730,Montréal,3,https://www.stlaval.ca/reseau/horaires-autobus/route/730S,MONTRÉAL,151f6d,FFFFFF
MARS2274E,STL,74,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/74E,ST-FRANCOIS,151f6d,FFFFFF
MARS2274O,STL,74,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/74O,CARTIER,151f6d,FFFFFF
MARS22744E,STL,744,Métro Côte-Vertu,3,https://www.stlaval.ca/reseau/horaires-autobus/route/744E,COTE-VERTU,151f6d,FFFFFF
MARS22744O,STL,744,Gare Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/744O,STEDOROTHEE,151f6d,FFFFFF
MARS2276E,STL,76,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/76E,MONTMORENCY,151f6d,FFFFFF
MARS2276O,STL,76,Gare Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/76O,STEDOROTHEE,151f6d,FFFFFF
MARS22901N,STL,901,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/901N,ST-FRANCOIS,151f6d,FFFFFF
MARS22901S,STL,901,Métro Cartier,3,https://www.stlaval.ca/reseau/horaires-autobus/route/901S,CARTIER,151f6d,FFFFFF
MARS22902N,STL,902,Terminus Le Carrefour,3,https://www.stlaval.ca/reseau/horaires-autobus/route/902N,CARREFOUR,151f6d,FFFFFF
MARS22902S,STL,902,Métro Côte-Vertu,3,https://www.stlaval.ca/reseau/horaires-autobus/route/902S,COTE-VERTU,151f6d,FFFFFF
MARS22903N,STL,903,Gare Sainte-Dorothée,3,https://www.stlaval.ca/reseau/horaires-autobus/route/903N,STEDOROTHEE,151f6d,FFFFFF
MARS22903S,STL,903,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/903S,MONTMORENCY,151f6d,FFFFFF
MARS22925N,STL,925,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/925N,ST-FRANCOIS,151f6d,FFFFFF
MARS22925S,STL,925,Métro Radisson,3,https://www.stlaval.ca/reseau/horaires-autobus/route/925S,RADISSON,151f6d,FFFFFF
MARS22942E,STL,942,Saint-François,3,https://www.stlaval.ca/reseau/horaires-autobus/route/942E,ST-FRANCOIS,151f6d,FFFFFF
MARS22942O,STL,942,Métro Montmorency,3,https://www.stlaval.ca/reseau/horaires-autobus/route/942O,MONTMORENCY,151f6d,FFFFFF
